[생성 패턴] Prototype pattern 			(프로토타입 패턴)
[생성 패턴] Builder pattern 			(빌더 패턴) 
[생성 패턴] Singleton pattern 			(싱글턴 패턴) 
[생성 패턴] AbstractFactory pattern 		(추상 팩토리 패턴)  
[생성 패턴] Factory pattern 			(팩토리 패턴)  

[구조 패턴] Flyweight pattern 			(플라이웨이트 패턴)  
[구조 패턴] Bridge pattern 			(브리지 패턴)
[구조 패턴] Proxy pattern 			(프록시 패턴)
[구조 패턴] Composite pattern 			(컴포지트 패턴)
[구조 패턴] Facade pattern 			(퍼사드 패턴)
[구조 패턴] Decorator pattern 			(데코레이터 패턴) 
[구조 패턴] Adapter pattern 			(어댑터 패턴)  
[구조 패턴] Filter/Criteria pattern *		(필터 패턴) 

[행위 패턴] Visitor pattern 			(비지터 패턴)  
[행위 패턴] Memento pattern 			(메멘토 패턴) 
[행위 패턴] Mediator pattern 			(미디에이터 패턴)
[행위 패턴] Interpreter pattern 		(인터프리터 패턴) 
[행위 패턴] Chain of responsibility pattern 	(역할 사슬 패턴) 
[행위 패턴] State pattern 			(스테이트 패턴)  
[행위 패턴] Iterator pattern 			(이터레이터 패턴)  
[행위 패턴] Command pattern 			(커맨드 패턴) 
[행위 패턴] Observer pattern 			(옵저버 패턴)  
[행위 패턴] Template Method pattern 		(템플릿 메소드 패턴)  
[행위 패턴] Strategy pattern 			(전략 패턴) 
[행위 패턴] Null Object pattern *		(널 오브젝트 패턴) 

[디자인 패턴] Compound pattern 			(컴파운드 패턴)  
